Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
433311,B004DBT12A,A1KR2T43K07F8X,Gigi Greer,1,1,5,1326412800,Hard to find,"We have about 20 different varieties of coffees and teas at our house now that we've bought a Keurig.  Cuz you can.  This has become my favorite. Not too strong, not bitter, not flavored or sweet but not too weak.  Just a medium cup of joe.  Impossible to find in the stores.  So here I is."
55487,B0002M7WG6,A1KR4F2O0GSZ92,Hunan Chicken,3,4,5,1229558400,my girls love it!,"My dobermans love Yuppy Puppy. The enclosed pamphlet says it can take up to two weeks for your dog to learn how to work it, but that is probably an exaggeration as food is a great motivator. One of my dogs learned how to use it in under five minutes, using her paw, the other took about a day and prefers to use her snout to depress the lever. I tried to teach her with her paw but she learned her own way to do it. It is cute to watch them and is much anticipated when I say ""Work the Machine!"" Product is built sturdy for heavy use by mongrels and stays in place well. Doesn't tip over. Highly recommended."
357344,B00061EUN6,A1KR550NDCG5QC,"Ken Brandt ""bigguy8398""",1,1,5,1243814400,Sugar Twin Brown,Bought this for a relative that said she could not find it in her area.<br />She says it is great in recipes instead of regular brown sugar. She says definitely makes things tastes good!!
176680,B002XGSRZO,A1KR5H8JQQDQEC,Ron Campos,0,0,5,1348963200,"Tasty, the genuine article","I've had these on trips to England before and really wanted to share the experience with my kids.  Bought this and was really happy with the product. It's exactly what I had in England.  It was well worth the cost.  It only lasted us a few days but that's only because everyone - wife included - kept wanting ""just one more, please.""  If you want the real Jelly Babies, buy these.  You will not regret your decision."
183613,B00451SGWE,A1KR5QP8THL2P,"Anita S. Peralta ""Anita""",0,0,5,1303776000,Delicious!,"Better than I was expecting and everyone in my family likes them.  I can actually use 1/2 of one and that's plenty for me and my husband, but my girls like to use the full packet."
330494,B00445U1ME,A1KR5QP8THL2P,"Anita S. Peralta ""Anita""",0,0,5,1303776000,Awesome Deal!,"What a great deal, can't beat it.  We chew a lot of this gum so this was a great price...plus if you do the math, you get more getting this one that the 12 pk."
362995,B001LQTHYW,A1KR5QP8THL2P,"Anita S. Peralta ""Anita""",0,0,5,1303776000,Daughter's love this coffee,"My daughters love this decaf Mocha Java and will usually drink a cup on the weekends in the morning while I'm drinking my regular coffee.  It's strong enough, not bitter and makes a great dessert coffee w/o the guilt."
33479,B006N3I84I,A1KR8ENU9RHJSQ,"Linda Lou ""Linda""",0,0,5,1279065600,Best coffee ever!,"I'm not a coffee ""gourmet"", so my review is quite simple. I've tried dozens of K-Cup varieties, and, this is the best ever.  I like strong coffee, but, sometimes the bold varieties are somewhat bitter.  This one is strong yet smooth and has a very pleasant aroma as well.  My very favorite!  Would like to see this one on autoship!"
303295,B008FHUCNU,A1KR8ENU9RHJSQ,"Linda Lou ""Linda""",0,0,5,1279065600,Best coffee ever!,"I'm not a coffee ""gourmet"", so my review is quite simple. I've tried dozens of K-Cup varieties, and, this is the best ever.  I like strong coffee, but, sometimes the bold varieties are somewhat bitter.  This one is strong yet smooth and has a very pleasant aroma as well.  My very favorite!  Would like to see this one on autoship!"
469737,B001D0KG1O,A1KR8ENU9RHJSQ,"Linda Lou ""Linda""",0,0,3,1256688000,"Nice aroma, but weak, watery coffee - Not so bad after all!","8/21/10 I'd like to update my review of late last year.  I found out that the weak coffee  wasn't the fault of the K-cups after all, but a malfunction at the time with my Keurig.  Tried it again after that issue was solved, and, I do like it after all.  Might even re-order it. :)  I like the aroma, not convinced that it really has an Irish Creme ""taste"".  Changing from 1 to 3 stars.  Will update you later.<br /><br />Earlier review: Nice aroma, but weak, watery coffee.<br />This flavor Not recommended.  BTW, I do love the Timothy's Cinnamon Pastry and some other Timothy's flavors, but not this one. Very disappointed, and, unfortunately grocery products not returnable."
499146,B004M62D5S,A1KR8ENU9RHJSQ,"Linda Lou ""Linda""",0,0,5,1279065600,Best coffee ever!,"I'm not a coffee ""gourmet"", so my review is quite simple. I've tried dozens of K-Cup varieties, and, this is the best ever.  I like strong coffee, but, sometimes the bold varieties are somewhat bitter.  This one is strong yet smooth and has a very pleasant aroma as well.  My very favorite!  Would like to see this one on autoship!"
505839,B001ELL512,A1KR8ENU9RHJSQ,"Linda Lou ""Linda""",0,0,5,1279065600,Best coffee ever!,"I'm not a coffee ""gourmet"", so my review is quite simple. I've tried dozens of K-Cup varieties, and, this is the best ever.  I like strong coffee, but, sometimes the bold varieties are somewhat bitter.  This one is strong yet smooth and has a very pleasant aroma as well.  My very favorite!  Would like to see this one on autoship!"
560121,B006VRTQZG,A1KR8ENU9RHJSQ,"Linda Lou ""Linda""",0,0,5,1279065600,Best coffee ever!,"I'm not a coffee ""gourmet"", so my review is quite simple. I've tried dozens of K-Cup varieties, and, this is the best ever.  I like strong coffee, but, sometimes the bold varieties are somewhat bitter.  This one is strong yet smooth and has a very pleasant aroma as well.  My very favorite!  Would like to see this one on autoship!"
83277,B005ZBZLT4,A1KR99OIBJY9SV,WildCat13,1,1,5,1328140800,Love Fog Chaser!,me: Normally drink Rainforest Espresso<br /><br />Tried this due to the price and less plastic.<br /><br />Like it a lot.<br /><br />Very good and love the concept but wish they shipped in a resealable bag or container.
180831,B007Y59HVM,A1KR99OIBJY9SV,WildCat13,1,1,5,1328140800,Love Fog Chaser!,me: Normally drink Rainforest Espresso<br /><br />Tried this due to the price and less plastic.<br /><br />Like it a lot.<br /><br />Very good and love the concept but wish they shipped in a resealable bag or container.
112031,B002PR7FN6,A1KRAYS9OPTTVB,"Joan M. Cummings ""jmr""",0,0,5,1323043200,Great coffee.,Love this pumkin spice coffee.  Great flavor and aroma.  Arrived on time in perfect condition. I order this whenever it is available.
199669,B001D0KG5K,A1KRAYS9OPTTVB,"Joan M. Cummings ""jmr""",0,0,5,1287878400,"exceelent flavor, love it!!!!","This is a nice, smooth flavorfiul pumkin spice.  My college age daughter loves it too."
393653,B003ZJIROE,A1KRAYS9OPTTVB,"Joan M. Cummings ""jmr""",0,0,5,1342310400,Nice cup of iced coffee,The French Vanilla iced coffee brews well over ice and has a nice medium flavor.  Good value too.  Arrived on time in excellent condition.
526915,B009GAJ5QK,A1KRAZE3FLGA1G,KJPollard,0,0,5,1351123200,"Good quality, fast delivery","I bought these to make homemade vanilla.  The quality of beans was very good.  Very ""meaty"" and full of beans.  It was also received very quickly and they were well packaged in a vacuum sealed package.  Would buy from this seller again."
200756,B002VZUW0A,A1KRBNK3N1SBEP,"SkinTrade ""napisarn""",5,5,5,1265932800,High quality Durian chips,"I've had fresh durian chips from Thailand before, and these are very comparable.  Very crisp and not too salty.  Probably the only way to get Durian chips in the states."
319864,B0018QIPS4,A1KRBNK3N1SBEP,"SkinTrade ""napisarn""",5,5,5,1265932800,High quality Durian chips,"I've had fresh durian chips from Thailand before, and these are very comparable.  Very crisp and not too salty.  Probably the only way to get Durian chips in the states."
353153,B002YLI9E2,A1KRBNK3N1SBEP,"SkinTrade ""napisarn""",28,29,5,1265932800,Makes great popcorn!,"Coconut oil is what they use at the movie theaters.  Accounts for that sweet almost floral fragrance.  Makes great movie theater style popcorn.  Kinda scary seeing this giant tub of orange oil.  Even scarier seeing the level of it going down.  But does make crispy, fragrant popcorn.  it solidifies at room temperature, so you have to scoop it out into a bowl, microwave it at 30 seconds and then it goes into the kettle."
463674,B0018QNL3I,A1KRBNK3N1SBEP,"SkinTrade ""napisarn""",5,5,5,1265932800,High quality Durian chips,"I've had fresh durian chips from Thailand before, and these are very comparable.  Very crisp and not too salty.  Probably the only way to get Durian chips in the states."
545632,B0018QIQFG,A1KRBNK3N1SBEP,"SkinTrade ""napisarn""",5,5,5,1265932800,High quality Durian chips,"I've had fresh durian chips from Thailand before, and these are very comparable.  Very crisp and not too salty.  Probably the only way to get Durian chips in the states."
555128,B000SSU0CC,A1KRBNK3N1SBEP,"SkinTrade ""napisarn""",1,1,5,1265932800,I Love this stuff!,"Had to drive a long ways to purchase Squidy at a Southeast Asian grocery store in town, and they had trouble keeping it in stock.  Now I can order as much and often as I want.  THese are great.  Spicy, sweet, crispy, not too fishy.  Used to eat this all the time in Thailand."
397469,B007WY4BXY,A1KRCAAJ1EVEPM,twofornd,1,1,5,1346198400,Finally Found A Sour Pickle,I have been hunting a really good sour pickle for years and here it is.  Sour pickles almost do not exist.  This is as close to the old style in the large cans and jars as it gets.  If you want a REAL Sour Pickle then this is it.  Even the juice is good.  And I beg you to keep making them and get the word out.  You will be glad.  I ordered two jars and now will be ordering for Christmas Presents and a lot more for myself as our entire family loves sour pickles.  Be sure to chill as that brings out the flavor.  Thank you Best Maid.  FINALLY FOUND SOME!!!
395563,B00433GC3E,A1KRDCF7U84KTS,1 of 47,0,0,5,1334448000,The Best,These dried mango treats make the tongue dance dance for joy. Also very good to accompany baked goods and mixed drinks  - A real Party Starter!
108292,B007TJGY46,A1KRDP9YW2MAZY,"Michael R. Lovett ""Darthmore""",0,0,5,1262131200,"If you love Strong Coffee, this is your Choice","I'm the type of guy that fills the filter to the rim in order to get as strong coffee as I possibly can.  Jet Fuel is very close to drinking Expresso in flavor, highly recommend it."
362070,B006N3HZ6K,A1KRDP9YW2MAZY,"Michael R. Lovett ""Darthmore""",0,0,5,1262131200,"If you love Strong Coffee, this is your Choice","I'm the type of guy that fills the filter to the rim in order to get as strong coffee as I possibly can.  Jet Fuel is very close to drinking Expresso in flavor, highly recommend it."
378435,B008FHUGNQ,A1KRDP9YW2MAZY,"Michael R. Lovett ""Darthmore""",0,0,5,1262131200,"If you love Strong Coffee, this is your Choice","I'm the type of guy that fills the filter to the rim in order to get as strong coffee as I possibly can.  Jet Fuel is very close to drinking Expresso in flavor, highly recommend it."
453413,B0029XLH4Y,A1KRDP9YW2MAZY,"Michael R. Lovett ""Darthmore""",0,0,5,1262131200,"If you love Strong Coffee, this is your Choice","I'm the type of guy that fills the filter to the rim in order to get as strong coffee as I possibly can.  Jet Fuel is very close to drinking Expresso in flavor, highly recommend it."
22769,B00513J3GS,A1KRDVD1TJUQ92,"Melody ""5 feet of fury""",3,7,1,1327017600,DO NOT feed your cat Fussie Cat foods!!!,"My oldest cat has become very finicky about his food, and I need him to gain some weight, so I decided to try a new food.  Fussie Cat gave him diarrhea, which I attributed to switching to a new food, but it lasted for the three weeks I fed it to him, and his fur became duller.  Every time my other two cats got into this food, they vomited, which they generally do not do.  My oldest cat just got a checkup.  He now has renal failure.  His numbers were 100% fine just a few months ago.  I can only attribute it to this food.  I believe he has acute renal failure due to some toxin from Fussie Cat.  Fussie Cat is from Thailand-- there are ZERO regulations for pet food there, and can write whatever they feel like on the can.  My vet, when he saw the food, told me to get my cat off of it, and said other clients of his had had bad reactions to this food.<br /><br />If you value your pet's health, stay far, far away from Fussie Cat.  I have my cat on Merrick now, and he is doing better.  I can only hope I can reverse the damage this food has done."
471816,B004N58QUE,A1KRE195ZABMG,Gretchen Leaders,0,0,5,1324080000,Yummy!,This verson of butternut squash with the added pear is yummy! The pear makes the squash just a bit sweeter but not too sweet.<br />My son prefers this to the other two and three ingrediant squash or sweet potato options
94800,B000SATIBO,A1KRE6A2XAQLOD,GOFOYOS,1,2,5,1328227200,So This Is TEA....,"Forget the little bags and boxes ..this is not just a Tea to brew and sip but to Brew and Experience is  what makes Tea drinkers so eclectic...this type of Tea is new to me & I never would have imagined that there could be such a fantastic difference as I've found it to be in a High Quality Tea and the limp tea in the supermarket (pap and drivel)<a href=""http://www.amazon.com/gp/product/B000SATIZA"">Davidson's Tea Bulk, Herb Pure Org Hibiscus Flowers, 16-Ounce Bag</a>.I'll not buy any other boxed or bagged teas again if I can help it..I will though in the near future be laying in a good supply of this Brand in various flavors .<br />Oh I must tell you too that although I've always enjoyed a good coffee rush in the morning to get me ready to roll out ,,this has just as much of a jolt when prepared just right as any high powered coffee you can name..if you don't like a caffiene jolt ,don't make this to strong or you might have to climb down off the ceiling after your first cup.<br /><br /><a href=""http://www.amazon.com/gp/product/B000SATIBO"">Davidson's Tea Bulk, Earl Grey, 16-Ounce Bag</a>"
564632,B003GV7JFE,A1KRE6A2XAQLOD,GOFOYOS,1,1,5,1326758400,Amazon Delivers The Best,"I just Ground & Brewed my 1st. pot of Original EightO'Clock coffee delivered from Amazon and I'am exeriencing what must be a Devine Moment. I was never so glad to see a delivery before until now(I was out of coffee) .Right on time and packed to arrive in pristine condition.<br />The coffee is better then any High priced brand I've ever tasted (you know who I mean) this is a great standard Gourmet taste I recognize from a few of the Best Hotels here in NYC and I do mean the best of them (I work for a service that brings me into the kitchens of these places often)I'll subscribe from now on for ths coffee and some other flavors of this brand.<br />I'm a Boomer(1950's kid) and my Mom who was very much into Haute Cuisine only bought this brand and on early sunday mornings it was always the smell of this coffee that brought the house to life and to the big country breakfast she'd always prepare before getting the family ready for church...aaah those days and EightO'Clock coffee....<br />Amzon's earned my trust for all my internet shopping needs for the best in prices & Quality of merchandise and variety of items available.<br /><a href=""http://www.amazon.com/gp/product/B003GVBN1A"">Eight O'Clock Coffee, 100% Columbian Whole Bean, 40-Ounce Package</a>"
181836,B0009F3POY,A1KREJU6VVCYMI,MommyOfTwins,0,0,5,1319500800,Great product!!!,"I was told by a friend to try this tea since I was going to be having twins. It has definitely been working for me. The taste isn't too bad, and it doesn't upset my stomach. The tea has even been recommended by nurses to women who are having problems with milk production. I definitely recommend it!!!"
163760,B000LKX1HI,A1KREPYO7PJ7J4,Rose Captain,1,3,1,1293148800,quality is not always the same,"I bought this product about 6 months ago and was very much pleased with it. Therefore, I ordered it again last month. However, I am very much dissapointed this time. The beans seem overcooked and crushed. We did not get sick after eating it but I'm concerned that the company made a processing error. I won't buy this product again and do not recommend you to buy."
267407,B008MPC2LK,A1KREPYO7PJ7J4,Rose Captain,1,3,1,1293148800,quality is not always the same,"I bought this product about 6 months ago and was very much pleased with it. Therefore, I ordered it again last month. However, I am very much dissapointed this time. The beans seem overcooked and crushed. We did not get sick after eating it but I'm concerned that the company made a processing error. I won't buy this product again and do not recommend you to buy."
483195,B004U49T36,A1KRES6G0FD8EZ,MomOf2,5,5,5,1318118400,Only fruit snack I will buy!,"I do not usually write reviews unless I want to warn others about a product, but I have to make an exception with these fruit snacks. Yes, they are pricier than other brands, but I wouldn't take other brands now if you gave them to us! These fruit snacks are very fresh tasting, wonderfully soft and a true ""chewy"" - not a tough, pull-your-teeth-out texture. I could never give my toddler the usual fruit snacks because of the dyes, texture, and the insane amount of sugar. I love everything about these snacks and our whole family eats them!! She gets excited when she sees a pack of her gummies and I buy them on Amazon by the case! I feel confident giving her these since they contain 100% of her daily vitamin C in one small pack and are actually adding nutrition to her diet instead of a sugary snack. Can't recommend these enough - if you are on the fence and are trying to make good health decisions for your family look no further - buy a box! You won't be disappointed."
390957,B001PCZ3YU,A1KRF7HIC3KEGT,"Ravarshi ""Ravarshi Kashaku""",1,2,5,1290643200,Awesome customer service.,"The USPS lost my first package, and huggy's haven resent another package containing my items, and i just received them this morning. So they went out of their way to resend another package on their own dine. I definitely plan on repurchasing from this seller again in the future. Thank you so much Huggy's Haven. You've made a permanent customer."
113792,B0001217R2,A1KRG03XTOIFX1,"Roxie, mom of 2",10,10,5,1163030400,Forget about finding in a gourmet store...find it here!,"We visited the south of France during the summer.  Spent time with our friends who live there.  They made us the most delicious dinner one evening.  Using these bricks...they rolled a ball of mozzarella in thyme, and then rolled a thin slice of prosciutto around the mozzarella ball/thyme.  Then rolled it up in a brick and baked them for about 15 minutes.  I was obsessed with finding these bricks.  I went to gourmet store after gourmet store here to no avail.  Finally, on Amazon, I found them!  Whew.  I didn't want to have to travel all the way back to France to get them!"
9466,B000UBDKII,A1KRGY0Y3BHCPC,JE,0,0,5,1335052800,Awesome coffee!,"Just read the reviews that said it had a chemical taste - I totally disagree. I think it tastes wonderful! I guess its all a matter of personal preference. I love it so much, I cant go back to the regular unflavored coffee. The only thing that's too bad is that it's artificially flavored. I care not because of the taste, but because artificial flavors are probably not too good for me. But I love the taste anyway! Senseo could easily use natural vanilla flavoring, it is probably more expensive, but they should do it anyway to give their customers a better product. Unfortunately too many companies today use non-natural ingredients in the quest for larger profits, which is a sad commentary. Senseo, you need to start using natural vanilla flavor instead of artificial for the health of your customers.<br /><br />But I still love the taste and cant drink any other coffee! The Senseo coffee in general is so wonderful. I've gone through two machines already. The frothiness of Senseo coffee is so delightful...its like cappacino froth only better. I use Silk Vanilla creamer too which gives it an even better taste (their product DOES have the natural vanilla flavor so maybe that is helping with the taste.) Then I always top off my coffee with cinnamon sprinkles which makes it even more wonderful!<br /><br />All in all, a great coffee and coffee system, just please start using natural flavor Senseo, for the health of your customers! You would probably have even more customers if you did. :)"
58776,B005P0NA7U,A1KRGY0Y3BHCPC,JE,0,1,5,1315094400,the best lip balm on the market hands down,"I love this lip balm and have been using it for around 10 years. It is the only lip balm that thoroughly quenches my dry lips and doesnt taste like soap! Inevitably some lip balm is going to get inside the mouth when using it, and this is fine as it tastes like coconut which I love! Not only that but the ingredients are safe - its not loaded up with chemicals like most.  Its the perfect lip balm and I hope it never gets discontinued.... I simply cant go without it, and have never found a lip balm as awesome as this one!"
134229,B00120U5DY,A1KRGY0Y3BHCPC,JE,0,1,5,1315094400,the best lip balm on the market hands down,"I love this lip balm and have been using it for around 10 years. It is the only lip balm that thoroughly quenches my dry lips and doesnt taste like soap! Inevitably some lip balm is going to get inside the mouth when using it, and this is fine as it tastes like coconut which I love! Not only that but the ingredients are safe - its not loaded up with chemicals like most.  Its the perfect lip balm and I hope it never gets discontinued.... I simply cant go without it, and have never found a lip balm as awesome as this one!"
197706,B0011EO7WQ,A1KRGY0Y3BHCPC,JE,0,1,5,1315094400,the best lip balm on the market hands down,"I love this lip balm and have been using it for around 10 years. It is the only lip balm that thoroughly quenches my dry lips and doesnt taste like soap! Inevitably some lip balm is going to get inside the mouth when using it, and this is fine as it tastes like coconut which I love! Not only that but the ingredients are safe - its not loaded up with chemicals like most.  Its the perfect lip balm and I hope it never gets discontinued.... I simply cant go without it, and have never found a lip balm as awesome as this one!"
200352,B002ACQHDA,A1KRGY0Y3BHCPC,JE,0,0,1,1343088000,INFERIOR QUALITY - DONT BUY THESE! POOR CUSTOMER SERVICE,"I BOUGHT these coffee pods and they arrived with one of the pods open which leaked all over the bag. Amazon wouldnt give me a refund so i called Baronet directly. They were unsympathetic, would not give me a refund or replacement, and didnt seem to care that their coffee pods are inferior quaility. I will never buy from them again. $16 down the drain."
365148,B001M074LA,A1KRGY0Y3BHCPC,JE,0,0,1,1347840000,These DO NOT fit in the Senseo machine!,Beware these DO NOT fit in the Senseo machine as one reviewer noted. Coffee pods are not standardized - they are all different sizes. Trying to find pods that fit my Senseo is almost impossible. - I called Senseo and their French Vanilla is still being manufactured but they are made in Brazil and there is a strike or trade freeze happening so that they cannot get shipped out of the country. They are still being made and hopefully will start shipping again soon.
403732,B00120XR0M,A1KRGY0Y3BHCPC,JE,0,1,5,1315094400,the best lip balm on the market hands down,"I love this lip balm and have been using it for around 10 years. It is the only lip balm that thoroughly quenches my dry lips and doesnt taste like soap! Inevitably some lip balm is going to get inside the mouth when using it, and this is fine as it tastes like coconut which I love! Not only that but the ingredients are safe - its not loaded up with chemicals like most.  Its the perfect lip balm and I hope it never gets discontinued.... I simply cant go without it, and have never found a lip balm as awesome as this one!"
463813,B000Y8X0LE,A1KRGY0Y3BHCPC,JE,0,1,5,1315094400,the best lip balm on the market hands down,"I love this lip balm and have been using it for around 10 years. It is the only lip balm that thoroughly quenches my dry lips and doesnt taste like soap! Inevitably some lip balm is going to get inside the mouth when using it, and this is fine as it tastes like coconut which I love! Not only that but the ingredients are safe - its not loaded up with chemicals like most.  Its the perfect lip balm and I hope it never gets discontinued.... I simply cant go without it, and have never found a lip balm as awesome as this one!"
474791,B00120VWSQ,A1KRGY0Y3BHCPC,JE,0,1,5,1315094400,the best lip balm on the market hands down,"I love this lip balm and have been using it for around 10 years. It is the only lip balm that thoroughly quenches my dry lips and doesnt taste like soap! Inevitably some lip balm is going to get inside the mouth when using it, and this is fine as it tastes like coconut which I love! Not only that but the ingredients are safe - its not loaded up with chemicals like most.  Its the perfect lip balm and I hope it never gets discontinued.... I simply cant go without it, and have never found a lip balm as awesome as this one!"
474902,B00120VWSG,A1KRGY0Y3BHCPC,JE,0,1,5,1315094400,the best lip balm on the market hands down,"I love this lip balm and have been using it for around 10 years. It is the only lip balm that thoroughly quenches my dry lips and doesnt taste like soap! Inevitably some lip balm is going to get inside the mouth when using it, and this is fine as it tastes like coconut which I love! Not only that but the ingredients are safe - its not loaded up with chemicals like most.  Its the perfect lip balm and I hope it never gets discontinued.... I simply cant go without it, and have never found a lip balm as awesome as this one!"
184875,B00171417O,A1KRGZOW0EY5Y8,LadyGar,6,7,5,1306972800,Mmmm Best Burgers,"These burgers are fantastic! Anyone who is stating they are dry and not tastey or tough and chewey is not cooking them right. Sounds like you are over cooking them or not following the cooking directions. I have made them a number of different ways, pan fried, bbq grill, george foreman grilled and broiled... everytime they come out awesome! Grill or stir fry some onions with them, add a little cheddar, monteray jack or spice it up with peper jack cheese, whatever kind you like, and you got an amazing burger! Top with a little Ketchup or russian dressing if you like condiments or for some added zing lightly brush a little italian dressing on the bun before toasting. So much better than those super market slop burgers! If your not sure how best to make them, read the little book that comes with it. 15 minute flash defrost trick works great for pan frying or broiling. I have grilled them frozen fresh from the freezer on both the bbq and the g foreman grill and they come out great.In fact... I think Ill make some for dinner... AGAIN!"
184912,B00171417E,A1KRGZOW0EY5Y8,LadyGar,6,7,5,1306972800,Mmmm Best Burgers,"These burgers are fantastic! Anyone who is stating they are dry and not tastey or tough and chewey is not cooking them right. Sounds like you are over cooking them or not following the cooking directions. I have made them a number of different ways, pan fried, bbq grill, george foreman grilled and broiled... everytime they come out awesome! Grill or stir fry some onions with them, add a little cheddar, monteray jack or spice it up with peper jack cheese, whatever kind you like, and you got an amazing burger! Top with a little Ketchup or russian dressing if you like condiments or for some added zing lightly brush a little italian dressing on the bun before toasting. So much better than those super market slop burgers! If your not sure how best to make them, read the little book that comes with it. 15 minute flash defrost trick works great for pan frying or broiling. I have grilled them frozen fresh from the freezer on both the bbq and the g foreman grill and they come out great.In fact... I think Ill make some for dinner... AGAIN!"
